标题                            	URL                                                         	分类名称	描述
中共海南省委党校（海南行政学院）	http://www.dx.hainan.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共陕西省委党校（陕西行政学院）	http://www.shxdx.com	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共宁夏区委党校（宁夏行政学院）	http://www.nxdx.org.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共甘肃省委党校（甘肃行政学院）	http://www.gsdx.gov.cn	党校（行政学院）	中共甘肃省委党校（甘肃行政学院）
中共青海省委党校（青海省行政学院）	http://www.qhswdx.com	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共新疆区委党校（新疆行政学院）	http://www.xjdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共西藏区委党校（西藏行政学院）	http://www.xzqwdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共四川省委党校（四川行政学院）	http://www.scge.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共贵州省委党校（贵州省行政学院）	http://www.gzdx.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共云南省委党校（云南行政学院）	https://www.yndx.gov.cn/html/yndx/	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共兵团党委党校（兵团行政学院）	http://dwdx.xjbt.gov.cn	党校（行政学院）	党员干部培训的主渠道，党的理论建设和决策咨询的重要阵地。
中共党史专题讲座	https://www.ccps.gov.cn/wlkc/index.shtml	公开课	汇集名家讲座与精品课程，普及党的理论与人文社科知识。
马克思主义新闻观百问百答	http://www.zgjx.cn/zt/maxinguan100aq/index.htm	公开课	中国记协马克思主义新闻观白问白答专题主页
《共产党宣言》导读	http://theory.people.com.cn/n1/2020/0615/c40531-31746601.html	公开课	编者按：习近平总书记指出，共产党人要把读马克思主义经典、悟马克思主义原理当作一种生活习惯、当作一种精神追求，用经典涵养正气、淬炼思想、升华境界、指导实践。为进一步推动形成读经典、学理论、强素质、作表率
《德意志意识形态》导读	http://theory.people.com.cn/n1/2020/0713/c40531-31780507.html	公开课	编者按：习近平总书记指出，共产党人要把读马克思主义经典、悟马克思主义原理当作一种生活习惯、当作一种精神追求，用经典涵养正气、淬炼思想、升华境界、指导实践。为进一步推动形成读经典、学理论、强素质、作表率
《关于费尔巴哈的提纲》导读	http://theory.people.com.cn/n1/2020/0817/c40531-31824408.html	公开课	编者按：习近平总书记指出，共产党人要把读马克思主义经典、悟马克思主义原理当作一种生活习惯、当作一种精神追求，用经典涵养正气、淬炼思想、升华境界、指导实践。为进一步推动形成读经典、学理论、强素质、作表率
国家政务服务平台	http://gjzwfw.www.gov.cn/index.html	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
国家哲学社会科学文献中心	https://www.ncpssd.cn/	文献检索	为贯彻落实习近平总书记在哲学社会科学工作座谈会上的讲话精神，中国社会科学院牵头建设国家哲学社会科学文献中心。中心立足全国哲学社会科学领域，由国家投入和支持，开展哲学社会科学文献信息资源建设和服务。中心目前收录的文献类型包括中文期刊、外文期刊、集刊、古籍，并建设了优先发布栏目、习近平新时代中国特色社会主义思想专栏等。
中国搜索	http://www.chinaso.com	文献检索	中国搜索信息科技股份有限公司（简称中国搜索）是新华社主管主办的国家搜索平台、中央新闻网站、信息科技企业“国家队”，于2014年2月由中央七大主要新闻单位联合设立。作为国家高新技术企业，中国搜索坚持“国家站位、搜索定位、科学品位、市场地位”，致力于以中国观点、中国算法，重组服务于中国式现代化的数据和信息。
中国知网	https://www.cnki.net	文献检索	中国知网知识发现网络平台—面向海内外读者提供中国学术文献、外文文献、学位论文、报纸、会议、年鉴、工具书等各类资源统一检索、统一导航、在线阅读和下载服务。涵盖基础科学、文史哲、工程科技、社会科学、农业、经济与管理科学、医药卫生、信息科技等十大领域。
中国人民大学复印报刊资料	http://ipub.exuezhe.com/index.html	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
共产党员网搜索	https://search.12371.cn/	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
人民数据	http://data.people.com.cn	文献检索	人民数据库是人民网自主研发的大型党政时政文化数据平台。依托人民日报、人民网的信息资源，与中央各部委紧密合作，整合新闻资讯和资料文献而成，是广大领导干部及时、准确、全面掌握国内外形势、党和国家政策方针的重要工具。
光明网搜索	http://search.gmw.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
思想理论网络文章评价系统	http://iwaes.gmw.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
中国国家图书馆	http://www.nlc.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
清华大学图书馆	https://lib.tsinghua.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
北京大学图书馆	https://www.lib.pku.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
中国人民大学图书馆	http://www.lib.ruc.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
北京师范大学图书馆	http://www.lib.bnu.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
浙江大学图书馆	https://libweb.zju.edu.cn	文献检索	浙江大学
复旦大学图书馆	http://www.library.fudan.edu.cn	文献检索	复旦大学图书馆是中国高校图书情报工作指导委员会副主任委员馆，是CASHL（中国高校人文社会科学文献中心）的两个全国中心馆之一。设有教育部面向全国和华东地区的外国教材中心，教育部文科外文图书引进中心书库、欧盟图书专架、教育部科技查新工作站（综合类）、上海市科委科技查新站（计算机与生物）、全国医学文献检索教学研究会理事长馆兼秘书处、图书馆学硕士培养点、中国索引学会秘书处，并承担了《中国索引》杂志...
武汉大学图书馆	https://www.lib.whu.edu.cn	文献检索	武汉大学图书馆
南京大学图书馆	http://lib.nju.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
中山大学图书馆	http://library.sysu.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
厦门大学图书馆	https://library.xmu.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
南开大学图书馆	http://www.lib.nankai.edu.cn	文献检索	南开大学
四川大学图书馆	http://lib.scu.edu.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
国家科技图书文献中心	http://yide.calis.edu.cn/	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
NSTL国家科技图书文献中心	https://www.nstl.gov.cn/index.html	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
国家工程技术数字图书馆	http://netl.istic.ac.cn/site/home	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
国家地理信息公共服务平台	http://www.tianditu.gov.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
标准地图服务系统	http://bzdt.ch.mnr.gov.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
全国哲学社会科学工作办公室	http://www.nopss.gov.cn	文献检索	提供权威的学术文献、图书资料及政务信息检索服务。
习近平系列重要讲话数据库	http://jhsjk.people.cn	数据资料	习近平系列重要讲话数据库
习近平总书记全面从严治党重要论述数据库	http://people.ccdi.gov.cn	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
中共中央政治局集体学习	http://www.12371.cn/special/lnzzjjtxx	数据资料	中央政治局集体学习，是中国共产党的一种重要学习形式。2002年12月26日，中央政治局举行首次集体学习。此后，中央政治局坚持开展集体学习并逐渐形成制度。
中央文件	http://www.xinhuanet.com/politics/zywj/index.htm	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
国务院政策文件库	http://www.gov.cn/zhengce/zhengcewenjianku/index.htm	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
党纪法规库	http://www.ccdi.gov.cn/fgk/index	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
党的建设数据库	http://djsjk.people.cn	数据资料	人民网·中国共产党新闻网主办的全国性党建频道，传播党的声音，密切党群关系，推动党的工作，展现党的形象。
党务知识	http://fuwu.12371.cn/dwwd	数据资料	党务知识 党务咨询 党务工作 发展党员 党费收缴 12371 共产党员网
党史资料库	http://dangshi.people.com.cn/GB/234123/index.html	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
光明日报数据库	http://epaper.gmw.cn/gmrbdb	数据资料	在光明日报创刊65周年之际，光明网为广大读者和网友提供历年光明日报查询服务。“历年光明日报数据库”包括自1998年以来的光明日报历史资料，用户可通过点选日历牌上的年月日，浏览2009年1月至今的报纸版面和相应文章，以及1998年至2008年的见报文章。
国家哲学社会科学文献中心	https://www.ncpssd.cn/	数据资料	为贯彻落实习近平总书记在哲学社会科学工作座谈会上的讲话精神，中国社会科学院牵头建设国家哲学社会科学文献中心。中心立足全国哲学社会科学领域，由国家投入和支持，开展哲学社会科学文献信息资源建设和服务。中心目前收录的文献类型包括中文期刊、外文期刊、集刊、古籍，并建设了优先发布栏目、习近平新时代中国特色社会主义思想专栏等。
中国政要资料库	http://cpc.people.com.cn/GB/64162/394696/index.html	数据资料	中国政要资料库，权威收录中国各级领导干部简历、图片、最新报道等全方位咨询。
历次党代会数据库	http://cpc.people.com.cn/GB/64162/64168/index.html	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
国家统计局数据库	https://data.stats.gov.cn/staticreq.htm	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
中国政协文史资料数据库	http://114.255.32.40:8090/was5/frontpage/index.html	数据资料	收录各类政策法规、统计数据及党史资料，方便查询引用。
中华人民共和国民法典	http://www.12371.cn/special/mfd	数据资料	《中华人民共和国民法典》共7编、1260条，各编依次为总则、物权、合同、人格权、婚姻家庭、继承、侵权责任，以及附则。编纂民法典是党的十八届四中全会提出的重大立法任务，是以习近平同志为核心的党中央作出的重大法治建设部署。编纂民法典，是对我国现行的、制定于不同时期的民法通则、物权法、合同法、担保法、婚姻法、收养法、继承法、侵权责任法和人格权方面的民事法律规范进行全面系统的编订纂修，形成一部具有中...
求是网	http://www.qstheory.cn	党刊	求是网是中国共产党中央委员会机关刊《求是》杂志主办的理论宣传研究平台。求是网的目标定位是突出理论特色，既体现权威性、理论性、指导性，又体现时效性、开放性、互动性，发挥权威理论网站的引导、整合、服务功能，努力建设成为广大干部群众和理论工作者的理论宣传平台、思想激荡平台、学习交流平台、文献检索平台。
旗帜网	http://www.qizhiwang.org.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
党建网	http://www.dangjian.cn	党刊	党建网是中共中央宣传部主管，《党建》杂志社主办，具有新闻采编发布、视频播放资质的全国党建工作门户网站，被中央网信办确定为可供网站转载新闻的中央新闻网站、中央重点理论网站。
党建研究网	https://djyj.12371.cn	党刊	登载《党建研究》文章和《党建研究内参》目录，反映中组部的重要声音，发布全国党建研究会有关信息。
人民论坛网	http://www.rmlt.com.cn	党刊	人民论坛网为国家一类新闻网站、中央重点思想理论门户网站、中央网信办新闻信息稿源单位、全国行业新闻网站传播力10强网站。人民论坛网由人民日报社主管、人民论坛杂志社主办，坚持四个自信，弘扬中国精神，引领思想潮流，开创了“互联网+智库”的新型发展模式，获得国家首批数字转型示范单位等系列荣誉，作为中国思想理论网站的排头兵，被视为观察中国思想动态走向的“晴雨表”。
半月谈	http://www.banyuetan.org	党刊	半月谈网，是新华社主办《半月谈》建设的以时事政治，时政热点，时事新闻，时事评论，政策解读，时政新闻要闻为主的大型时政专业平台，相约网上半月谈，与您共话天下事！网站不定期开设专题，就某一重大时政主题进行集纳式报道，最近开设了“十八届三中全会 深化改革新航标”专题，目前已上稿150多篇。此前还开设了“中国梦”、“党的群众路线教育实践活动”等专题。此外，网站还设有媒体集萃、文化、教育、健康、旅游等...
中国纪检监察杂志	http://zgjjjc.ccdi.gov.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
北京前线网	http://www.bjqx.org.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
天津支部生活网	http://www.tjzbsh.cn	党刊	天津支部生活网
重庆七一网	https://www.12371.gov.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
河北共产党员网	http://www.hebgcdy.com	党刊	河北共产党员网是由中共河北省委主管，省委组织部、宣传部指导，省委共产党员杂志社主办的综合性党建类新闻网站。在全面配合省委中心工作的同时，侧重服务于基层党务工作者和广大党员。
内蒙古实践网	http://www.nmgsjw.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
山东支部生活网	http://www.sdxc.gov.cn/zbsh	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
江苏群众网	http://www.qunzh.com/index.html	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
当代广西网	https://www.ddgx.cn	党刊	当代广西网是由当代广西杂志社主管、主办的地方综合类新闻网站，是当代广西杂志社全力打造的新晋广西主流网络媒体，是外界了解广西，获取广西信息的重要窗口和主要桥梁。
广东南方杂志网	http://www.nfzz.net.cn	党刊	《南方》杂志创刊于2003年12月26日，是广东省委机关刊，由省委主管主办，月发行量超120万份。南方杂志社是副厅级事业单位，是南方报业传媒集团的成员单位之一。 除正刊《南方》杂志外，南方杂志社还有南方党建智库、《南方杂志·领导参阅》、“南方+”新闻客户端理论频道、“南方+”新闻客户端党建频道、南方杂志微信公众号等子媒体及产品。
湖南新湘评论网	http://www.cnxxpl.com	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
湖北党员生活网	http://www.hbdysh.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
今日浙江网	http://www.jrzj.cn	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
当代陕西网	http://www.sx-dj.gov.cn/dzqk/	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
安徽江淮网	http://www.jhxww.net	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
当代江西网	http://www.ddjiangxi.com	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
宁夏共产党人网	http://www.nxgcdr.net	党刊	共产党人
四川党的建设网	http://www.scdjw.com.cn	党刊	四川党建网是中共四川省委机关刊《四川党的建设》杂志主办的全省党建工作门户网站，是经中央网信办批准的互联网新闻信息稿源单位，是具有互联网新闻信息服务许可、网络出版服务许可资质的全省重点新闻网站。
贵州当代先锋网	http://www.ddcpc.cn	党刊	当代先锋网为国家一类新闻资质网站，是贵州日报报刊社、贵州日报当代融媒体集团官方新闻网站，具有新闻原创与采编首发权。网站以权威信息发布、海量新闻资讯、媒体融合平台为定位，是国内外网民了解贵州最权威、最便捷的新闻渠道，被列入国家网信办公布可供网站转载新闻的新闻单位名单，2016年获评“全国报刊媒体融合创新30佳优秀案例”。
甘肃党的建设网	http://ddjs.gscn.com.cn	党刊	甘肃省党的建设杂志是中共甘肃省委主管主办的唯一党刊，是全省唯一以党建为主线的社科类刊物，也是全省唯一能深入和覆盖到农村党组织的刊物。创刊以来，始终以党的基层组织、广大党员干部和党外积极分子为主要阅读对象，是党员干部学习党的知识、党组织指导党建工作的良师益友，是广大党务工作者的参谋助手，是 交流经验、推广典型的平台，在加强党的建设，传播党建信息，推广党建经验方面发挥着不可替代的作用，是省委指导...
今日海南网	http://www.hainanlilun.com/index.shtml	党刊	党的机关刊物，深入阐释党的理论，交流党建经验。
人民日报	http://paper.people.com.cn/rmrb/index.html	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
新华每日电讯	http://mrdx.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
光明日报	http://epaper.gmw.cn/gmrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
经济日报	http://paper.ce.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
解放军报	http://www.81.cn/szb_223187/szblb/index.html?paperNumber=01&paperName=jfjb&paperDate	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国纪检监察报	https://jjjcb.ccdi.gov.cn/epaper	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国组织人事报	https://www.zuzhirenshi.com/newspaper/index	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
人民政协报	https://rmzxb.183read.cc/#/home	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
科技日报	http://digitalpaper.stdaily.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国妇女报	http://paper.cnwomen.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
工人日报	https://www.workercn.cn/papers/grrb/index.html	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
农民日报	http://szb.farmer.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国青年报	http://zqb.cyol.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国教育报	http://paper.jyb.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
法治日报	http://epaper.legaldaily.com.cn/fzrb/content/PaperIndex.htm	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
检察日报	http://newspaper.jcrb.com	党报	《检察日报》电子报是最高人民检察院主管、检察日报社主办的中央新闻网站，是经国家网信办审批的中央互联网信息服务单位。立足检察，宣传法治，及时报道社会主义法制建设的最新动态、热点和难点问题，高扬反腐倡廉的旗帜。
人民法院报	http://www.rmfyb.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
人民公安报	http://epaper.cpd.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国文化报	https://npaper.ccmapp.cn/zh-CN/?page=1	党报	《中国文化报》是中国文化报社出版的报刊，创刊于1986年，是中华人民共和国文化部主管的权威性文化综合类报纸。
中国科学报	http://news.sciencenet.cn/dz/dznews_photo.aspx	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
团结报	http://paper.tuanjiewang.cn/tjb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中国新闻出版报	https://epaper.chinaxwcb.com/epaper	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
学习时报	http://paper.cntheory.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
北京日报	https://bjrbdzb.bjd.com.cn/bjrb/paperindex.htm	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
解放日报	https://www.jfdaily.com/journal/getHomePage.htm	党报	电子报
文汇报	http://dzb.whb.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
天津日报	http://epaper.tianjinwe.com/tjrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
重庆日报	http://epaper.cqrb.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
河北日报	http://hbrb.hebnews.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
山西日报	http://epaper.sxrb.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
内蒙古日报	http://szb.northnews.cn/nmgrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
大众日报	http://paper.dzwww.com/dzrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
黑龙江日报	http://epaper.hljnews.cn/hljrb/pc/layout	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
吉林日报	http://jlrbszb.dajilin.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
辽宁日报	https://epaper.lnd.com.cn/lnrbepaper/pc/layout	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
新华日报	http://xh.xhby.net	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
浙江日报	http://zjrb.zjol.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
安徽日报	https://szb.ahnews.com.cn/ahrb/layout	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
江西日报	http://jiangxi.jxnews.com.cn/pdf/jxrbfm/index.shtml	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
福建日报	https://fjrb.fjdaily.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
河南日报	http://newpaper.dahe.cn/hnrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
湖北日报	https://epaper.hubeidaily.net	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
湖南日报	http://hnrb.voc.com.cn/hnrb_epaper	党报	湖南日报报业集团多媒体数字报,湖南日报电子版,三湘都市报电子版,文萃报电子版,大众卫生报电子版,家庭导报电子版,科教新报电子版
南方日报	http://epaper.southcn.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
广西日报	http://gxrb.gxrb.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
海南日报	http://news.hndaily.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
贵州日报	http://szb.eyesnews.cn/	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
四川日报	http://epaper.scdaily.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
云南日报	http://yndaily.yunnan.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
西藏日报	http://epaper.chinatibetnews.com/xzrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
陕西日报	http://esb.sxdaily.com.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
甘肃日报	http://szb.gansudaily.com.cn/gsrb	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
青海日报	http://epaper.tibet3.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
宁夏日报	https://szb.nxrb.cn	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
新疆日报	https://xjrb.ts.cn/xjrb/20230530/1.html;jsessionid=192670441CA8376D5CF0528470B05284	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
兵团日报	http://epaper.bingtuannet.com	党报	党的机关报纸，及时传达党中央声音，报道国内外大事。
中共中央党史和文献研究院	http://www.dswxyjy.org.cn	智库研究	中央党史和文献研究院是党的历史和理论研究专门机构，是党中央直属事业单位
中国历史研究院	http://hrczh.cass.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中共中央党校（国家行政学院）	http://www.ccps.gov.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国人民政协理论研究会	http://www.cppcc.gov.cn/zxww/lilunyanjiuhui/sy/index.shtml	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国社会科学院	http://www.cass.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
国务院发展研究中心	https://www.drc.gov.cn/default.aspx	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
国务院参事室	http://www.counsellor.gov.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国科学院	http://www.cas.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国工程院	http://www.cae.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国科学技术协会	http://www.cast.org.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
国家信息中心	http://www.sic.gov.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国国际经济交流中心	http://www.cciee.org.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国现代国际关系研究院	http://www.cicir.ac.cn/NEW/index.html	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
商务部国际贸易经济合作研究院	http://www.caitec.org.cn	智库研究	商务部国际贸易经济合作研究院
新华社大数据智库云	https://www.lwinst.com/Liems/web/index.htm?f=2	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
清华大学国情研究院	http://www.iccs.tsinghua.edu.cn	智库研究	在清华大学的大力支持下，在创办人胡鞍钢教授的带领下，国情研究院依托当代中国改革开放的时代舞台、国际国内创新合作与竞争的学术舞台和清华大学公共管理学院的管理平台，致力于打造“中国学派”、展示“中国风格”、发出“中国声音”，现已初步建成具有较高学术影响力、国际影响力以及社会影响力的大学高端智库。
北京大学国家发展研究院	http://nsd.pku.edu.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国人民大学国家发展与战略研究院	http://nads.ruc.edu.cn	智库研究	中国人民大学国家发展与战略研究院
复旦大学中国研究院	http://www.cifu.fudan.edu.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
武汉大学国际法研究所	http://translaw.whu.edu.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中山大学粤港澳发展研究院	http://ygafz.sysu.edu.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
上海社会科学院	https://www.sass.org.cn	智库研究	上海社会科学院为上海综合性人文和社会科学研究机构，是中华人民共和国最早建立的社会科学院，是首批国务院学位委员会批准的学位授予单位。上海社会科学院创建于1958年，由当时的中国科学院上海经济研究所和上海历史研究所、上海财经学院、华东政法学院、复旦大学法律系合并而成。据2018年8月上海社科院官网显示，社科院设有17个研究所、12个管理部门、6个直属单位和17个院直属研究中心；拥有在职工作人员约...
中国石油经济技术研究院	http://etri.cnpc.com.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国（深圳）综合开发研究院	http://www.cdi.com.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国国际问题研究院	http://www.ciis.org.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
上海国际问题研究院	http://www.siis.org.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国社会科学院国家全球战略智库	http://nigscass.cssn.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
中国社科院国家金融与发展实验室	http://www.nifd.cn	智库研究	高端智库机构，开展战略性、前瞻性政策研究与咨询。
“一带一路”国际智库合作委员会	http://www.brsn.net	智库研究	“一带一路”国际智库合作委员会官网是为了更好地服务“一带一路”建设大局而搭建的“一带一路”沿线国家智库交流合作高端平台。
理论新境界 - 求是网	http://www.qstheory.cn/zt2020/llxjj/index.htm	名专栏	知名媒体特色栏目，聚焦热点话题，提供独到见解。
中国稳健前行 - 求是网	http://www.qstheory.cn/zt2020/2020zgwjqx/index.htm	名专栏	知名媒体特色栏目，聚焦热点话题，提供独到见解。
新闻联播	https://tv.cctv.com/lm/xwlb/index.shtml?spm=C28340.PlFTqGe6Zk8M.S70924.3	名专栏	《新闻联播》是中央广播电视总台每日晚间播出的一档新闻节目，被称为“中国政坛的风向标”，节目宗旨为“宣传党和政府的声音，传播天下大事”。
人民日报理论版	http://theory.people.com.cn/GB/245417/index.html	名专栏	人民日报理论版 文汇 专家 干部说干事 张首映 黄十庆 郑 剑 吴 珺 马宏伟 彭国华 叶 帆 于春晖
国际锐评 - 国际在线	http://news.cri.cn/guojiruiping	名专栏	国际视野、中国立场、民众关注
中国那些事儿 - 中国日报网	https://world.chinadaily.com.cn/5bd97038a3101a87ca904233	名专栏	知名媒体特色栏目，聚焦热点话题，提供独到见解。
镜头里的中国 - 学习强国	https://www.xuexi.cn/8e0809abd7b29ff09a9890486e0ace53/89f26f722b3749f799692dcb4c3bc73d.html	名专栏	知名媒体特色栏目，聚焦热点话题，提供独到见解。
新华网评	http://www.news.cn/comments/index.htm	名专栏	知名媒体特色栏目，聚焦热点话题，提供独到见解。
光明网评论员	http://guancha.gmw.cn/node_11273.htm	名专栏	光明网评论员文章秉承光明日报一贯的严谨、客观、公正的传统，关注现实热点、疑点、难点问题，析事明理、解疑释惑。展现新闻评论“针砭社会时弊，弘扬社会正气，体现人文关怀，广开言路，反映民情，推动社会进步”的特色，努力打造国内一流的有品位的评论栏目。主要栏目：漫说图解。
评新而论·大国经彩 - 中国经济网	http://views.ce.cn/subject/pxeljc	名专栏	评新而论·大国经彩
环球时报社评集	https://opinion.huanqiu.com/editorial	名专栏	环球时报社评集是环球网评论频道的特色子栏目，为您展示每天《环球时报》的社评文章。
